VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,pickup_hour,pickup_date,weekday,is_weekend,trip_duration_min,trip_speed_mph,tip_pct,long_trip,high_tip,revenue_per_mile
1,2025-01-29 11:00:00,2025-01-29 11:09:59,1.0,27.9,99.0,N,107,170,1,16.5,0.0,0.5,0.0,0.0,0.0,17.0,0.0,0.0,0.0,11,2025-01-29,2,False,9.983333333333333,80.0,0.0,True,False,0.6093189964157706
1,2025-01-29 12:00:00,2025-01-29 12:06:48,1.0,11.4,99.0,N,37,38,1,41.5,0.0,0.5,0.0,0.0,0.0,42.0,0.0,0.0,0.0,12,2025-01-29,2,False,6.8,80.0,0.0,True,False,3.6842105263157894
1,2025-01-29 20:24:07,2025-01-29 20:26:45,1.0,7.2,1.0,N,88,87,4,4.4,4.25,0.5,0.0,0.0,1.0,10.15,2.5,0.0,0.75,20,2025-01-29,2,False,2.6333333333333333,80.0,0.0,False,False,1.4097222222222223
1,2025-01-30 09:00:46,2025-01-30 09:06:03,1.0,12.9,1.0,N,162,162,1,6.5,3.25,0.5,1.13,0.0,1.0,12.38,2.5,0.0,0.75,9,2025-01-30,3,False,5.283333333333333,80.0,9.12762520193861,True,False,0.9596899224806202
2,2025-01-30 14:30:43,2025-01-30 14:33:48,1.0,17.79,1.0,N,230,230,1,5.1,0.0,0.5,1.48,0.0,1.0,11.33,2.5,0.0,0.75,14,2025-01-30,3,False,3.0833333333333335,80.0,13.062665489849955,True,False,0.6368746486790332
1,2025-01-30 18:07:22,2025-01-30 18:08:24,0.0,4.7,1.0,N,129,129,3,3.7,2.5,0.5,0.0,0.0,1.0,7.7,0.0,0.0,0.0,18,2025-01-30,3,False,1.0333333333333334,80.0,0.0,False,False,1.6382978723404256
2,2025-01-30 20:51:49,2025-01-30 21:01:03,1.0,20.6,1.0,N,142,238,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0,0.0,20,2025-01-30,3,False,9.233333333333333,80.0,16.666666666666668,True,False,0.9145631067961164
1,2025-01-31 17:19:48,2025-01-31 17:34:18,1.0,42.8,99.0,N,244,244,1,24.5,0.0,0.5,0.0,0.0,0.0,25.0,0.0,0.0,0.0,17,2025-01-31,4,False,14.5,80.0,0.0,True,False,0.5841121495327103
2,2025-01-31 18:12:59,2025-01-31 18:16:14,1.0,18.24,2.0,N,132,230,1,70.0,5.0,0.5,12.0,6.94,1.0,100.44,2.5,1.75,0.75,18,2025-01-31,4,False,3.25,80.0,11.947431302270012,True,False,5.506578947368421
1,2025-01-31 22:52:26,2025-01-31 22:54:23,1.0,4.3,1.0,N,10,10,1,19.1,2.75,0.5,5.8,0.0,1.0,29.15,0.0,1.75,0.0,22,2025-01-31,4,False,1.95,80.0,19.897084048027445,False,False,6.77906976744186
1,2025-01-01 01:56:57,2025-01-01 02:16:33,0.0,33.3,0.0,Unknown,256,37,0,17.04,0.0,0.5,0.0,0.0,1.0,18.54,0.0,0.0,0.0,1,2025-01-01,2,False,19.6,80.0,0.0,True,False,0.5567567567567567
2,2025-01-04 01:33:00,2025-01-04 01:42:00,0.0,15.27,0.0,Unknown,4,234,0,10.98,0.0,0.5,0.0,0.0,1.0,14.98,0.0,0.0,0.0,1,2025-01-04,5,True,9.0,80.0,0.0,True,False,0.9810085134250164
